Cidade,Estado,Longitude,Latitude 
Centenário do Sul,PR,-22.818764,-51.597268
Central,BA,-11.137576,-42.111625
Central de Minas,MG,-18.761944,-41.306389
Central do Maranhão,MA,-2.198312,-44.825385
Centralina,MG,-18.583889000000006,-49.199166
Centro Novo do Maranhão,MA,-2.126963,-46.122840999999994
Centro do Guilherme,MA,-2.4489080000000003,-46.034486
Cerejeiras,RO,-13.186987,-60.816836
Ceres,GO,-15.3061089,-49.6000061
Cerqueira César,SP,-23.037999,-49.165524
Cerquilho,SP,-23.166487,-47.745862
Cerrito,RS,-31.841917,-52.800442000000004
Cerro Azul,PR,0.0,0.0
Cerro Branco,RS,-29.656986,-52.94061
Cerro Corá,RN,-6.03503,-36.350278
Cerro Grande,RS,-27.6106099,-53.167238899999994
Cerro Grande do Sul,RS,-30.590472,-51.741846
Cerro Largo,RS,-28.146251,-54.742791000000004
Cerro Negro,SC,-27.794204999999998,-50.867264
Cesário Lange,SP,-23.226035,-47.954453
Cezarina,GO,-16.9718289,-49.775814000000004
Chalé,MG,-20.043611,-41.687777000000004
Chapada,RS,-28.055865,-53.06651899999999
Chapada Gaúcha,MG,0.0,0.0
Chapada da Natividade,TO,-11.617507000000002,-47.748614
Chapada de Areia,TO,-10.141228,-49.137952
Chapada do Norte,MG,-17.086666,-42.53888900000001
Chapada dos Guimarães,MT,-15.464343,-55.74985699999999
Chapadinha,MA,-3.738754,-43.353848
Chapadão do Céu,GO,-18.395781600000007,-52.666831499999994
Chapadão do Lageado,SC,-27.590507000000002,-49.553878999999995
Chapadão do Sul,MS,-18.788035,-52.626337
Chapecó,SC,-27.100447999999997,-52.61519000000001
Charqueada,SP,-22.50958,-47.775468
Charqueadas,RS,-29.962478000000004,-51.628871999999994
Charrua,RS,-27.949268,-52.015005
Chaval,CE,-3.035708,-41.24346
Chavantes,SP,-23.036632,-49.709616
Chaves,PA,-0.164154,-49.987006
Chiador,MG,-22.002778,-43.057221999999996
Chiapetta,RS,-27.923161999999998,-53.9419052
Chopinzinho,PR,-25.8567857,-52.5283646
Chorozinho,CE,-4.28873,-38.498571999999996
Chorrochó,BA,-8.969498,-39.097941999999996
Choró,CE,-4.839062,-39.134397
Chupinguaia,RO,-12.561115,-60.887693999999996
Chuvisca,RS,-30.75041,-51.97365900000001
Chuí,RS,-33.6898479,-53.45531070000001
Chácara,MG,-21.671945,-43.221667
Chã Grande,PE,-8.238271000000001,-35.457148
Chã Preta,AL,-9.255605000000001,-36.298334000000004
Chã de Alegria,PE,-8.006795,-35.204002
Cianorte,PR,-23.659859,-52.60544399999999
Cidade Gaúcha,PR,-23.377186,-52.943575
Cidade Ocidental,GO,-16.1000758,-47.9445014
Cidelândia,MA,-5.1746550000000004,-47.778145
Cidreira,RS,-30.160386,-50.233746999999994
Cipotânea,MG,-20.905278,-43.365556
Cipó,BA,-11.103172,-38.517942
Ciríaco,RS,-28.341913,-51.874143
Claraval,MG,-20.398889,-47.283056
Claro dos Poções,MG,-17.082223000000006,-44.209444
Clementina,SP,-21.560447,-50.452476000000004
Clevelândia,PR,-26.40406500000001,-52.3513972
Cláudia,MT,-11.5075,-54.883476
Cláudio,MG,-20.443610999999997,-44.765556
Coaraci,BA,-14.636996,-39.555609000000004
Coari,AM,-4.0885957,-63.1431166
Cocal,PI,-3.4727919999999997,-41.554623
Cocal de Telha,PI,-4.557098000000001,-41.958667999999996
Cocal do Sul,SC,-28.598569,-49.333535999999995
Cocal dos Alves,PI,-3.6204709999999998,-41.440197
Cocalinho,MT,-14.390339,-51.00015
Cocalzinho de Goiás,GO,-15.791437900000002,-48.77474210000001
Cocos,BA,-14.1819283,-44.5345092
Codajás,AM,-3.8305279999999997,-62.065787
Codó,MA,-4.455623,-43.892354
Coelho Neto,MA,-4.252454,-43.01078
Coimbra,MG,0.0,0.0
Coité do Nóia,AL,-9.633484,-36.584493
Coivaras,PI,-5.092242,-42.207951
Colares,PA,-0.936423,-48.280254
Colatina,ES,-19.5495,-40.6251
Colina,SP,0.0,0.0
Colinas,RS,-29.381497999999997,-51.852582
Colinas,MA,0.0,0.0
Colinas do Sul,GO,-14.152815900000002,-48.0759881
Colinas do Tocantins,TO,-8.05764,-48.475728000000004
Colméia,TO,-8.724627,-48.763753
Colniza,MT,0.0,0.0
Colombo,PR,-25.2926,-49.2244
Colorado,PR,0.0,0.0
Colorado,RS,-28.525841999999997,-52.992819999999995
Colorado do Oeste,RO,-13.117431,-60.545428
Coluna,MG,-18.233333,-42.840277
Colíder,MT,-10.813452999999999,-55.460981000000004
Colômbia,SP,-20.176771,-48.686468
Colônia Leopoldina,AL,-8.918058,-35.721414
Colônia do Gurguéia,PI,-8.183697,-43.793999
Colônia do Piauí,PI,-7.226512,-42.175554999999996
Combinado,TO,-12.814644,-46.5399882
Comendador Gomes,MG,-19.698332999999998,-49.080278
Comendador Levy Gasparian,RJ,-22.028685,-43.204654999999995
Comercinho,MG,-16.296111,-41.793054999999995
Comodoro,MT,0.0,0.0
Conceição,PB,0.0,0.0
Conceição da Aparecida,MG,-21.094166,-46.204444
Conceição da Barra,ES,-18.6777,-39.8578
Conceição da Barra de Minas,MG,-21.128889,-44.472223
Conceição da Feira,BA,-12.507835,-38.997823
Conceição das Alagoas,MG,-19.914722,-48.388055
Conceição das Pedras,MG,-22.16,-45.454167
Conceição de Ipanema,MG,-19.928334,-41.693889
Conceição de Macabu,RJ,-22.0849986,-41.867994700000004
Conceição do Almeida,BA,-12.768441000000001,-39.166801
Conceição do Araguaia,PA,0.0,0.0
Conceição do Canindé,PI,-7.876378,-41.594193
Conceição do Castelo,ES,-20.3801,-41.337
Conceição do Coité,BA,-11.559953,-39.280827
Conceição do Jacuípe,BA,-12.326831,-38.768433
Conceição do Lago-Açu,MA,-3.8514169999999996,-44.889531
Conceição do Mato Dentro,MG,-19.037222,-43.42527800000001
Conceição do Pará,MG,-19.752222,-44.896944
Conceição do Rio Verde,MG,-21.881110999999997,-45.086944
Conceição do Tocantins,TO,-12.220874,-47.29510300000001
Conceição dos Ouros,MG,-22.413056,-45.797777
Conchal,SP,-22.337512,-47.172927
Conchas,SP,-23.01543,-48.013391
Concórdia,SC,-27.2335644,-52.0261028
Concórdia do Pará,PA,-1.992375,-47.942204
Condado,PE,0.0,0.0
Condado,PB,0.0,0.0
Conde,BA,0.0,0.0
Conde,PB,0.0,0.0
Condeúba,BA,-14.902226999999998,-41.971829
Condor,RS,-28.2058277,-53.4844696
Confins,MG,-19.6322,-43.9825
Confresa,MT,-10.643695,-51.569873
Congo,PB,-7.790782000000001,-36.658059
Congonhal,MG,-22.153272100000002,-46.03990170000001
Congonhas,MG,0.0,0.0
Congonhas do Norte,MG,-18.806944,-43.681111
Congonhinhas,PR,-23.549310000000002,-50.556872
Conquista,MG,-19.936944,-47.543054999999995
Conquista D'Oeste,MT,0.0,0.0
Conselheiro Lafaiete,MG,-20.6602,-43.7861
Conselheiro Mairinck,PR,-23.626382,-50.170803
Conselheiro Pena,MG,-19.172223000000002,-41.472223
Consolação,MG,-22.551389,-45.921110999999996
Constantina,RS,-27.731973999999997,-52.993798999999996
Contagem,MG,-19.9132,-44.0842
Contenda,PR,0.0,0.0
Contendas do Sincorá,BA,-13.753689999999999,-41.047953
Coqueiral,MG,0.0,0.0
Coqueiro Baixo,RS,-29.181565999999997,-52.097034
Coqueiro Seco,AL,-9.637147,-35.799377
Coqueiros do Sul,RS,-28.11942100000001,-52.784220999999995
Coração de Jesus,MG,-16.685277,-44.364722
Coração de Maria,BA,-12.233332,-38.748653999999995
Corbélia,PR,-24.797122,-53.300576
Cordeiro,RJ,-22.0287681,-42.360744200000006
Cordeiros,BA,-15.035641,-41.930796
Cordeirópolis,SP,-22.477778,-47.451886
Cordilheira Alta,SC,-26.984403000000004,-52.605582
Cordisburgo,MG,-19.125834,-44.320278
Cordislândia,MG,-21.797545,-45.68995200000001
Coreaú,CE,-3.541496,-40.658656
Coremas,PB,-7.007124,-37.934638
Corguinho,MS,-19.824281,-54.828074
Coribe,BA,-13.8234286,-44.4585061
Corinto,MG,-18.363056,-44.456111
Cornélio Procópio,PR,-23.182910999999997,-50.649770000000004
Coroaci,MG,-18.621389,-42.285277
Coroados,SP,-21.352082,-50.285937
Coroatá,MA,-4.134422,-44.124414
Coromandel,MG,-18.473889,-47.200278000000004
Coronel Barros,RS,-28.392148,-54.06862099999999
Coronel Bicaco,RS,-27.719699,-53.702164
Coronel Domingos Soares,PR,-26.227684000000004,-52.03565
Coronel Ezequiel,RN,-6.3748010000000015,-36.222346
Coronel Fabriciano,MG,-19.5244,-42.6245
Coronel Freitas,SC,-26.905713000000002,-52.701122
Coronel José Dias,PI,-8.813971,-42.523195
Coronel João Pessoa,RN,-6.249736,-38.44415
Coronel João Sá,BA,-10.2847,-37.919825
Coronel Macedo,SP,-23.626143,-49.309965999999996
Coronel Martins,SC,-26.511043,-52.669361
Coronel Murta,MG,-16.618056,-42.181667
Coronel Pacheco,MG,0.0,0.0
Coronel Pilar,RS,-29.271800899999995,-51.6853946
Coronel Sapucaia,MS,-23.272407,-55.527811
Coronel Vivida,PR,-25.976685999999997,-52.56405400000001
Coronel Xavier Chaves,MG,-21.023889,-44.223056
Correia Pinto,SC,-27.587688,-50.361447999999996
Corrente,PI,-10.433349,-45.163348
Correntes,PE,-9.121174,-36.324435
Correntina,BA,-13.347674,-44.633334999999995
Cortês,PE,-8.474434,-35.54678900000001
Corumbataí,SP,-22.221334,-47.621451
Corumbataí do Sul,PR,-24.100956,-52.11766
Corumbaíba,GO,-18.135213500000006,-48.5649393
Corumbiara,RO,-12.955111,-60.894732
Corumbá,MS,-19.0064562,-57.6494624
Corumbá de Goiás,GO,-15.9244729,-48.8117061
Corupá,SC,-26.424640000000004,-49.245968
Coruripe,AL,-10.127632,-36.171724
Cosmorama,SP,-20.475472,-49.782747
Cosmópolis,SP,-22.641906,-47.19257800000001
Costa Marques,RO,-12.4367165,-64.2279765
Costa Rica,MS,-18.543201999999997,-53.12873199999999
Cotegipe,BA,-12.022761000000001,-44.256559
Cotia,SP,-23.6039,-46.9189
Cotiporã,RS,-28.989106,-51.697067
Cotriguaçu,MT,-9.856563000000001,-58.419231
Couto Magalhães,TO,0.0,0.0
Couto de Magalhães de Minas,MG,-18.072223,-43.470834
Coxilha,RS,-28.125444199999997,-52.2979903
Coxim,MS,-18.5059341,-54.7408598
Coxixola,PB,-7.623653,-36.606441
Crateús,CE,-5.167683,-40.653634999999994
Crato,CE,-7.2154,-39.4106
Cravinhos,SP,-21.3402814,-47.72945170000001
Cravolândia,BA,-13.353063,-39.803083
Craíbas,AL,-9.617797999999999,-36.769726
Criciúma,SC,-28.679122800000002,-49.3695517
Crissiumal,RS,-27.49989,-54.099371999999995
Cristais,MG,0.0,0.0
Cristais Paulista,SP,-20.403569,-47.420915
Cristal,RS,-31.00463400000001,-52.043618
Cristal do Sul,RS,-27.454386,-53.24829739999999
Cristalina,GO,-16.7676079,-47.613128100000004
Cristalândia,TO,0.0,0.0
Cristalândia do Piauí,PI,-10.644311,-45.189262
Cristiano Otoni,MG,-20.832223000000006,-43.805556
Cristianópolis,GO,-17.1986629,-48.70344710000001
Cristina,MG,-22.212222,-45.264167
Cristino Castro,PI,-8.822731,-44.222972
Cristinápolis,SE,-11.466778,-37.758494
Cristália,MG,0.0,0.0
Cristópolis,BA,-12.224899,-44.42135800000001
Crisólita,MG,-17.2389,-40.9092
Crisópolis,BA,-11.505929,-38.15148
Crixás,GO,-14.541193900000001,-49.9739771
Crixás do Tocantins,TO,-11.099375,-48.915194
Croatá,CE,0.0,0.0
Cromínia,GO,-17.2883219,-49.3797781
Crucilândia,MG,-20.393333,-44.337222
Cruz,CE,0.0,0.0
Cruz Alta,RS,-28.645001,-53.604831000000004
Cruz Machado,PR,-26.01664,-51.342965
Cruz das Almas,BA,-12.667516,-39.100787
Cruz do Espírito Santo,PB,-7.139022,-35.085721
Cruzaltense,RS,-27.667651,-52.657805
Cruzeiro,SP,0.0,0.0
Cruzeiro da Fortaleza,MG,-18.946666,-46.673889
Cruzeiro do Iguaçu,PR,-25.619214000000003,-53.128484
Cruzeiro do Oeste,PR,-23.779943,-53.07744200000001
Cruzeiro do Sul,AC,-7.630795599999999,-72.67038690000003
Cruzeiro do Sul,PR,-7.630795599999999,-72.67038690000003
Cruzeiro do Sul,RS,-7.630795599999999,-72.67038690000003
Cruzeta,RN,-6.408939,-36.778239
Cruzmaltina,PR,-24.013218,-51.456331
Cruzália,SP,-22.737309,-50.790909
Cruzília,MG,-21.838333,-44.808056
Cubati,PB,-6.8668580000000015,-36.361887
Cubatão,SP,-23.891121,-46.423968
Cuiabá,MT,-15.5992274,-56.09505260000001
Cuitegi,PB,-6.890577,-35.521529
Cuité,PB,-6.476466,-36.151456
Cuité de Mamanguape,PB,-6.912922,-35.250219
Cujubim,RO,-9.360655,-62.58457900000001
Cumari,GO,-18.264436899999996,-48.1511341
Cumaru,PE,-8.008266,-35.69574799999999
Cumaru do Norte,PA,-7.760344,-50.762739
Cumbe,SE,-10.351979,-37.184622
Cunha,SP,-23.07753,-44.956743599999996
Cunha Porã,SC,-26.895019,-53.166185
Cunhataí,SC,-26.970924,-53.089473999999996
Cuparaque,MG,-18.9697,-41.0986
Cupira,PE,-8.624324,-35.951834999999996
Curaçá,BA,-8.984577,-39.89967100000001
Curimatá,PI,-10.032608,-44.3002
Curionópolis,PA,-6.099654,-49.606795
Curitiba,PR,-25.43564965,-49.254194500000004
Curitibanos,SC,-27.2918521,-50.577147
Curiúva,PR,-24.036168,-50.457638
Currais,PI,-9.011755,-44.406194
Currais Novos,RN,-6.254843,-36.514648
Curral Novo do Piauí,PI,-7.831302,-40.895703999999995
Curral Velho,PB,-7.530750999999999,-38.196175
Curral de Cima,PB,-6.723248,-35.263934000000006
Curral de Dentro,MG,-15.9372,-41.8553
Curralinho,PA,-1.811793,-49.795227000000004
Curralinhos,PI,-5.608251999999999,-42.837602000000004
Cururupu,MA,-1.824255,-44.872996
Curuá,PA,-1.8877540000000002,-55.11684200000001
Curuçá,PA,-3.534098,-58.110161
Curvelo,MG,-18.756389000000002,-44.430834000000004
Curvelândia,MT,-15.609681,-57.915183
Custódia,PE,-8.085460000000001,-37.64428
Cutias,AP,0.9860003,-50802.0
Cáceres,MT,-16.0661001,-57.684735700000004
Cássia,MG,-20.583610999999998,-46.921945
Cássia dos Coqueiros,SP,-21.280082,-47.164327
Cândido Godói,RS,-27.951509,-54.751721999999994
Cândido Mendes,MA,-1.4531117,-45.7273136
Cândido Mota,SP,-22.742288199999997,-50.3888235
Cândido Rodrigues,SP,-21.327531,-48.632719
Cândido Sales,BA,-15.499309,-41.241438
Cândido de Abreu,PR,-24.564895,-51.33719
Céu Azul,PR,-25.1480195,-53.8470868
Cícero Dantas,BA,-10.589663999999999,-38.37937700000001
Córrego Danta,MG,-19.823889,-45.904167
Córrego Fundo,MG,0.0,0.0
Córrego Novo,MG,-19.832223000000006,-42.395833
Córrego do Bom Jesus,MG,-22.630556,-46.019723
Córrego do Ouro,GO,-16.2917534,-50.5502581
Cônego Marinho,MG,-15.2939,-44.4197
Damianópolis,GO,-14.5603809,-46.1780241
Damião,PB,-6.603745,-35.94240300000001
Damolândia,GO,-16.254371900000002,-49.3630981
Darcinópolis,TO,-6.715911999999999,-47.759709
Datas,MG,-18.445833,-43.656110999999996
David Canabarro,RS,-28.384907000000002,-51.848205
Davinópolis,MA,-18.1500839,-47.5567951
Davinópolis,GO,-18.1500839,-47.5567951
Delfim Moreira,MG,-22.508889,-45.28
Delfinópolis,MG,-20.344166,-46.853889
Delmiro Gouveia,AL,-9.385336,-37.998676
Delta,MG,-19.9769,-47.7711
Demerval Lobão,PI,-5.3641871,-42.67222810000001
Denise,MT,-14.732397,-57.058262
Deodápolis,MS,-22.276272,-54.168163
Deputado Irapuan Pinheiro,CE,-5.914848,-39.25701
Derrubadas,RS,-27.264151000000002,-53.864535
Descalvado,SP,-21.900211,-47.618105
Descanso,SC,-26.826971,-53.503395
Descoberto,MG,0.0,0.0
Desterro,PB,-7.286996,-37.092525
Desterro de Entre Rios,MG,-20.66,-44.332223
Desterro do Melo,MG,-21.146944,-43.517778
Dezesseis de Novembro,RS,-28.219036,-55.06170899999999
Diadema,SP,-23.6813,-46.6206
Diamante,PB,0.0,0.0
Diamante D'Oeste,PR,0.0,0.0
Diamante do Norte,PR,-22.65496700000001,-52.861662
Diamante do Sul,PR,-25.035007,-52.676781999999996
Diamantina,MG,0.0,0.0
Diamantino,MT,-14.403673000000001,-56.436599
Dianópolis,TO,-11.624008,-46.819787
Dias d'Ávila,BA,0.0,0.0
Dilermando de Aguiar,RS,-29.705393,-54.21224100000001
Diogo de Vasconcelos,MG,-20.4875,-43.198333
Dionísio,MG,-19.841944,-42.776945
Dionísio Cerqueira,SC,-26.260468100000004,-53.634637899999994
Diorama,GO,-16.2329359,-51.254332
Dirce Reis,SP,-20.464207000000002,-50.607335
Dirceu Arcoverde,PI,-9.339386,-42.434792
Divina Pastora,SE,-10.6813147,-37.16293220000001
Divino,MG,-20.614722,-42.148333
Divino das Laranjeiras,MG,-18.7775,-41.479167
Divino de São Lourenço,ES,-20.6203,-41.6838
Divinolândia,SP,-21.663709,-46.736128
Divinolândia de Minas,MG,-18.801667000000002,-42.613333000000004
Divinésia,MG,-20.990277,-43.003889
Divinópolis,MG,0.0,0.0
Divinópolis de Goiás,GO,-13.2853139,-46.3998791
Divinópolis do Tocantins,TO,-9.800181,-49.216848999999996
Divisa Alegre,MG,-15.7256,-41.3444
Divisa Nova,MG,-21.511389,-46.195833
Divisópolis,MG,-15725.0,-41005.0
Dobrada,SP,-21.515532999999998,-48.393476
Dois Córregos,SP,-22.367291,-48.381924
Dois Irmãos,RS,-29.58356,-51.089776
Dois Irmãos das Missões,RS,-27.662103000000002,-53.530413
Dois Irmãos do Buriti,MS,-20.684818,-55.291453000000004
Dois Irmãos do Tocantins,TO,-9.255336,-49.063756
Dois Lajeados,RS,-28.983006,-51.839584
Dois Riachos,AL,-9.384644999999999,-37.096502
Dois Vizinhos,PR,-25.740694,-53.057016000000004
Dolcinópolis,SP,-20.124047,-50.514897999999995
Dom Aquino,MT,-15.809899,-54.922298
Dom Basílio,BA,-13.756499,-41.767663
Dom Bosco,MG,0.0,0.0
Dom Cavati,MG,-19.374167,-42.106667
Dom Eliseu,PA,-4.283786,-47.505688
Dom Expedito Lopes,PI,-6.9533190000000005,-41.639632
Dom Feliciano,RS,-30.700353999999997,-52.102645
Dom Inocêncio,PI,-9.005158,-41.96973300000001
Dom Joaquim,MG,0.0,0.0
Dom Macedo Costa,BA,-12.901582000000001,-39.192259
Dom Pedrito,RS,-30.983755,-54.6746483
Dom Pedro,MA,-5.035182,-44.440883
Dom Pedro de Alcântara,RS,-29.363871999999997,-49.853007
Dom Silvério,MG,-20.160277999999998,-42.967778
Dom Viçoso,MG,-22.254444,-45.160833000000004
Domingos Martins,ES,-20.3638,-40.6576
Domingos Mourão,PI,-4.249498,-41.268267
Dona Emma,SC,-26.980975,-49.726141999999996
Dona Eusébia,MG,0.0,0.0
Dona Francisca,RS,-29.619507000000002,-53.361737
Dona Inês,PB,-6.6156559999999995,-35.620478999999996
Dores de Campos,MG,-21.107222,-44.0225
Dores de Guanhães,MG,-19.058611,-42.926389
Dores do Indaiá,MG,0.0,0.0
Dores do Rio Preto,ES,-20.6893,-41.8482
Dores do Turvo,MG,-20.975278,-43.188889
Doresópolis,MG,-20.287222,-45.903056
Dormentes,PE,-8.441163000000001,-40.766168
Douradina,PR,0.0,0.0
Douradina,MS,0.0,0.0
Dourado,SP,0.0,0.0
Douradoquara,MG,-18.431667,-47.608333
Dourados,MS,-22.2181,-54.8146
Doutor Camargo,PR,-23.558152,-52.21781
Doutor Maurício Cardoso,RS,-27.510309000000003,-54.357746
Doutor Pedrinho,SC,-26.71737000000001,-49.479495
Doutor Ricardo,RS,-29.083957,-51.997155
Doutor Severiano,RN,-6.080819,-38.379407
Doutor Ulysses,PR,-24.566546,-49.421931
Doverlândia,GO,-16.718818900000002,-52.3188601
Dracena,SP,-21.484310999999998,-51.535034
Duartina,SP,-22.414562,-49.408355
Duas Barras,RJ,-22.052251899999998,-42.519470500000004
Duas Estradas,PB,-6.6855482,-35.41582260000001
Dueré,TO,-11.341631,-49.271566
Dumont,SP,-21.2392632,-47.974549100000004
Duque Bacelar,MA,-4.150019,-42.947696
Duque de Caxias,RJ,-22.7867,-43.3096
Durandé,MG,-20.203611,-41.798055
Dário Meira,BA,-14.4229,-39.903129
Echaporã,SP,-22.432585500000002,-50.2037693
Ecoporanga,ES,-18.4271,-40.9625
Edealina,GO,-17.4239419,-49.6644011
Edéia,GO,-17.3406009,-49.9295441
Eirunepé,AM,-6.656765400000001,-69.866161
Eldorado,SP,0.0,0.0
Eldorado,MS,0.0,0.0
Eldorado do Sul,RS,-30.084676,-51.618702
Eldorado dos Carajás,PA,-6.103891,-49.355261
Elesbão Veloso,PI,-6.199475,-42.135458
Elias Fausto,SP,-23.042822,-47.368153
Eliseu Martins,PI,-8.096286,-43.670481
Elisiário,SP,-21.167754000000002,-49.114594
Elísio Medrado,BA,-12.941742999999999,-39.519087
Elói Mendes,MG,-21.610278,-45.565556
Emas,PB,-7.099635,-37.716276
Embaúba,SP,-20.979595,-48.832452
Embu,SP,-23649.0,-46852.0
Embu-Guaçu,SP,-23.829717000000002,-46.813593
Emilianópolis,SP,-21.831436,-51.483168
Encantado,RS,-29.23976780000001,-51.8762412
Encanto,RN,-6.106912,-38.30328
Encruzilhada,BA,0.0,0.0
Encruzilhada do Sul,RS,-30.542997999999997,-52.52038100000001
Engenheiro Beltrão,PR,-23.797028,-52.265877
Engenheiro Caldas,MG,-19.201389000000002,-42.046944
Engenheiro Coelho,SP,-22.483573,-47.211045
Engenheiro Navarro,MG,-17.281111,-43.950278000000004
Engenheiro Paulo de Frontin,RJ,-22.5504556,-43.6783403
Engenho Velho,RS,-27.706026,-52.91454
Entre Folhas,MG,-19.621810999999997,-42.230554999999995
Entre Rios,BA,0.0,0.0
Entre Rios,SC,-26.722474,-52.558504000000006
Entre Rios de Minas,MG,0.0,0.0
Entre Rios do Oeste,PR,-24.70421,-54.23850699999999
Entre Rios do Sul,RS,-27.529836,-52.734708
Entre-Ijuís,RS,-28.368555999999998,-54.268588
Envira,AM,-7.437889,-70.028143
Enéas Marques,PR,-25.944525,-53.165859999999995
Epitaciolândia,AC,-11.0289439,-68.7411519
Equador,RN,-6.9383550000000005,-36.716957
Erebango,RS,-27.8547407,-52.3026821
Erechim,RS,-27.636440000000004,-52.27087519
Ererê,CE,-6.027508,-38.346113
Ermo,SC,-28.986869,-49.643013
Ernestina,RS,-28.497674,-52.58356600000001
Erval Grande,RS,-27.391030600000004,-52.570803399999996
Erval Seco,RS,-27.5443146,-53.50049370000001
Erval Velho,SC,-27.274321,-51.44299
Ervália,MG,-20.839722000000002,-42.656944
Escada,PE,0.0,0.0
Esmeralda,RS,-28.0517619,-51.19327
Esmeraldas,MG,-19.760832999999998,-44.313889
Espera Feliz,MG,-20.650278,-41.907222
Esperantina,TO,0.0,0.0
Esperantina,PI,0.0,0.0
Esperantinópolis,MA,-4.879378,-44.692648999999996
Esperança,PB,0.0,0.0
Esperança Nova,PR,-23.723782,-53.810979
Esperança do Sul,RS,-27.360276000000002,-53.98908100000001
Espigão Alto do Iguaçu,PR,-25.421635000000002,-52.834798
Espigão D'Oeste,RO,0.0,0.0
Espinosa,MG,-14.927223000000001,-42.816389
Esplanada,BA,0.0,0.0
Espumoso,RS,-28.728633000000002,-52.84608000000001
Espírito Santo,RN,0.0,0.0
Espírito Santo do Dourado,MG,-22.046666000000002,-45.950833
Espírito Santo do Pinhal,SP,-22.195299399999996,-46.7530845
Espírito Santo do Turvo,SP,-22.69254,-49.434119
Estação,RS,-27.913548300000002,-52.2636099
Esteio,RS,-29.851963,-51.184065000000004
Estiva,MG,-22.462778,-46.017223
Estiva Gerbi,SP,-22.271314,-46.948111
Estreito,MA,-31.8231821,-51.74374279999999
Estrela,RS,-29.501610999999997,-51.960547999999996
Estrela Dalva,MG,0.0,0.0
Estrela Velha,RS,-29.171269,-53.163869999999996
Estrela d'Oeste,SP,0.0,0.0
Estrela de Alagoas,AL,-9.390894,-36.764407
Estrela do Indaiá,MG,-19.5225,-45.7875
Estrela do Norte,GO,-13.866450899999998,-49.071592100000004
Estrela do Norte,SP,-13.866450899999998,-49.071592100000004
Estrela do Sul,MG,-18.745555,-47.692777
Estância,SE,-11.265922,-37.448381
Estância Velha,RS,-29.653540000000003,-51.184339
Euclides da Cunha,BA,-10.507753999999998,-39.015285999999996
Euclides da Cunha Paulista,SP,-22.55452,-52.59277900000001
Eugenópolis,MG,-21.098333,-42.186665999999995
Eugênio de Castro,RS,-28.531467,-54.15059
Eunápolis,BA,-16.371498000000006,-39.582122
Eusébio,CE,-3.892501,-38.455875
Ewbank da Câmara,MG,-21.551389,-43.509722
Extrema,MG,-22855.0,-46.318334
Extremoz,RN,-5.701433,-35.30484000000001
Exu,PE,-7.503639999999999,-39.723789000000004
Fagundes,PB,-7.344537,-35.793128
Fagundes Varela,RS,-28.879386,-51.701425
Faina,GO,-15.447296900000001,-50.362205100000004
Fama,MG,-21.408904999999997,-45.832164
Faria Lemos,MG,0.0,0.0
Farias Brito,CE,0.0,0.0
Faro,PA,-2.168047,-56.740497999999995
Farol,PR,-24.095842,-52.62169300000001
Farroupilha,RS,-29.227464299999998,-51.3443533
Fartura,SP,0.0,0.0
Fartura do Piauí,PI,-9.483419999999999,-42.791176
Faxinal,PR,0.0,0.0
Faxinal do Soturno,RS,-29.575662,-53.4447952
Faxinal dos Guedes,SC,-26.853058100000002,-52.2614906
Faxinalzinho,RS,-27.42377,-52.67891700000001
Fazenda Nova,GO,-16.1833699,-50.778110999999996
Fazenda Rio Grande,PR,-25.645220000000002,-49.31196
Fazenda Vilanova,RS,-29.588510999999997,-51.821714
Feijó,AC,-8.1639128,-70.3541781
Feira Grande,AL,-9.898586,-36.681521000000004
Feira Nova,SE,-10.2653,-37.3059
Feira Nova,PE,0.0,0.0
Feira Nova do Maranhão,MA,-6.9650820000000015,-46.678577000000004
Feira da Mata,BA,-14.204405,-44.274423999999996
Feira de Santana,BA,-12.2667,-38.9667
Felipe Guerra,RN,-5.5979694,-37.6961704
Felisburgo,MG,-16.638889000000002,-40.760556
Felixlândia,MG,-18.757778,-44.898889000000004
Feliz,RS,-29.4508908,-51.307713
Feliz Deserto,AL,-10.293491,-36.302788
Feliz Natal,MT,-12.384985,-54.922738
Felício dos Santos,MG,-18.076110999999997,-43.246666
Fernandes Pinheiro,PR,-25.41074200000001,-50.545601
Fernandes Tourinho,MG,-19.152778,-42.083056
Fernando Falcão,MA,-6.163298999999999,-44.870694
Fernando Pedroza,RN,-5.6944107000000015,-36.5295653
Fernando Prestes,SP,-21.266060999999997,-48.687384
Fernando de Noronha,PE,-3.8659759,-32.4433201
Fernandópolis,SP,-20.280556,-50.247115
Fernão,SP,-22.36066,-49.518735
Ferraz de Vasconcelos,SP,-23.5411,-46.3711
Ferreira Gomes,AP,0.8579992000000001,-51.18
Ferreiros,PE,-7.446664,-35.23725200000001
Ferros,MG,-19.232778,-43.022223
Fervedouro,MG,0.0,0.0
Figueira,PR,0.0,0.0
Figueirão,MS,-18.681028,-53.643012
Figueirópolis,TO,-12.131175,-49.174771
Figueirópolis D'Oeste,MT,0.0,0.0
Filadélfia,TO,-10.740475,-40.14371
Filadélfia,BA,-10.740475,-40.14371
Firmino Alves,BA,-14.982334,-39.926859
Firminópolis,GO,-16.5777799,-50.3040071
Flexeiras,AL,-9.272807,-35.71393300000001
